stock
000001
000070
000301
000401
000572
000665
000688
000723
000761
000789
000861
001269
002022
002031
002036
002142
002157
002174
002325
002347
002360
002370
002382
002439
002459
002460
002496
002503
002527
002542
002548
002631
002717
002726
002761
002775
002793
002798
002806
002807
002822
002839
002861
002865
002921
002958
002966
002989
003004
300057
300062
300078
300112
300168
300190
300197
300229
300246
300297
300305
300332
300382
300393
300422
300424
300427
300429
300437
300490
300497
300554
300556
300587
300591
300605
300608
300614
300624
300663
300665
300700
300723
300732
300737
300767
300778
300830
300839
300853
300869
300876
300894
300900
300942
300948
301002
301040
600000
600016
600037
600075
600185
600227
600231
600271
600326
600370
600438
600481
600518
600567
600745
600755
600782
600798
600810
600815
600831
600908
600919
600926
600939
600996
601009
601012
601128
601166
601229
601238
601366
601398
601515
601665
601818
601838
601860
601929
601988
601998
603007
603030
603113
603131
603185
603212
603278
603313
603323
603363
603377
603421
603466
603528
603557
603578
603626
603636
603660
603665
603669
603679
603690
603716
603776
603887
603906
603937
603956
603978
603982
605006
605068
605177
605358
605366
688030
688066
688096
688135
688148
688223
688556
688590
688595
688598
688599
688680
